student_id,date,name,country,sql,excel,maths,python,poo,tableau,data_exploration,data_manipulation,data_viz,data_transformation,data_modelisation,data_deployement,pack_office,result_presentation
GMC0000001,2020-06-22,Nguiamba Doumbe,Cameroun,61.79,,62,20,30,88.0,61.79,20.32,62,20,30,48,47.0,48
GMC0000002,2020-06-23,El Hani Mohamed,Tunisie,20.23,,20,90,2,8.0,20.23,90.43,20,90,2,84,,84
GMC0000003,2020-06-24,Mbodji Mamadou,Sénégal,85.82,,86,49,30,24.0,85.82,48.93,86,49,30,39,11.0,39
GMC0000004,2020-06-25,Koné Mohamed,Côte d'ivoire,42.18,,42,59,100,26.0,42.18,59.2,42,59,100,54,66.0,54
GMC0000005,2020-06-26,Ahouansou Kossi,Bénin,31.99,,32,95,50,83.0,31.99,95.23,32,95,50,77,55.0,77
GMC0000006,2020-06-25,Chelli Mohamed,Tunisie,72.18,,72,76,53,86.0,72.18,75.5,72,76,53,25,35.0,25
GMC0000007,2020-06-24,N'Dri Yao,Côte d'ivoire,71.49,,71,90,24,42.0,71.49,89.74,71,90,24,16,75.0,16
GMC0000008,2020-06-26,Dosso Gbènè,Bénin,34.09,,34,81,100,41.0,34.09,80.95,34,81,100,50,85.0,50
GMC0000009,2020-06-23,Diallo Astou,Sénégal,50.39,,50,26,58,45.0,50.39,25.59,50,26,58,24,78.0,24
GMC0000010,2020-06-25,Mengue Douala,Cameroun,1.0,,1,28,64,83.0,1.0,27.81,1,28,64,27,39.0,27
GMC0000011,2020-06-26,Sèdjo Akouvi,Bénin,78.75,31.0,79,36,8,23.0,78.75,35.57,79,36,8,31,87.0,31
GMC0000012,2020-06-26,Goudiaby Ndèye,Sénégal,74.8,,75,70,64,48.0,74.8,70.07,75,70,64,44,74.0,44
GMC0000013,2020-06-26,Zarrouk Mohamed,Tunisie,73.83,,74,69,26,92.0,73.83,69.01,74,69,26,31,53.0,31
GMC0000014,2020-06-23,Diakité Mohamed,Côte d'ivoire,1.0,,1,10,73,49.0,1.0,10.36,1,10,73,27,46.0,27
GMC0000015,2020-06-23,Tunis Fethi,Tunisie,41.65,,42,8,75,23.0,41.65,7.71,42,8,75,59,84.0,59
GMC0000016,2020-06-23,Faye Fatou,Sénégal,50.05,93.0,50,76,24,,50.05,-10000,50,76,24,93,46.0,93
GMC0000017,2020-06-24,Sossou Komi,Bénin,60.14,,60,37,26,55.0,60.14,37.45,60,37,26,70,27.0,70
GMC0000018,2020-06-22,Ben Ammar Slimane,Tunisie,57.23,,57,43,71,16.0,57.23,42.63,57,43,71,81,31.0,81
GMC0000019,2020-06-25,Kandjou Tchakounté,Cameroun,83.03,,83,37,73,46.0,83.03,37.47,83,37,73,74,5.0,74
GMC0000020,2020-06-22,Diedhiou Anta,Sénégal,11.33,,11,34,18,41.0,11.33,34.2,11,34,18,48,45.0,48
GMC0000021,2020-06-26,Slim Rached,Tunisie,44.93,,45,53,38,96.0,44.93,52.65,45,53,38,51,71.0,51
GMC0000022,2020-06-23,Ondoa Ngandjui,Cameroun,33.6,,34,65,59,74.0,33.6,64.52,34,65,59,77,40.0,77
GMC0000023,2020-06-24,Kante Fatoumata,Sénégal,54.84,,55,49,45,28.0,54.84,49.31,55,49,45,38,78.0,38
GMC0000024,2020-06-26,Biyick Ngog,Cameroun,63.84,,64,1,49,93.0,63.84,1.0,64,1,49,35,37.0,35
GMC0000025,2020-06-24,Gaye Ndèye,Sénégal,82.95,,83,22,58,84.0,82.95,21.85,83,22,58,39,30.0,39
GMC0000026,2020-06-22,Camara Mamadou,Côte d'ivoire,38.27,,38,43,56,36.0,38.27,43.27,38,43,56,68,96.0,68
GMC0000027,2020-06-26,El Abed Mohamed,Tunisie,66.89,,67,35,39,59.0,66.89,35.43,67,35,39,12,25.0,12
GMC0000028,2020-06-24,Ghaddab Mohamed,Tunisie,4.57,,5,58,64,44.0,4.57,57.82,5,58,64,1,46.0,1
GMC0000029,2020-06-24,Ouegnin Yayra,Bénin,45.42,,45,60,96,100.0,45.42,59.87,45,60,96,76,32.0,76
GMC0000030,2020-06-25,Ondoa Ngandjui,Cameroun,76.47,,76,58,29,22.0,76.47,57.89,76,58,29,81,1.0,81
GMC0000031,2020-06-22,Tunisie Taïeb,Tunisie,40.05,,40,27,44,58.0,40.05,27.02,40,27,44,4,34.0,4
GMC0000032,2020-06-24,Keita Ibrahima,Côte d'ivoire,58.44,,58,1,43,68.0,58.44,1.0,58,1,43,3,34.0,3
GMC0000033,2020-06-26,Boujbel Mohamed,Tunisie,76.19,,76,43,62,74.0,76.19,42.66,76,43,62,20,98.0,20
GMC0000034,2020-06-22,Ben Yahia Mohamed,Tunisie,76.15,,76,100,21,40.0,76.15,100.0,76,100,21,13,3.0,13
GMC0000035,2020-06-24,Traoré Ibrahima,Côte d'ivoire,71.59,,72,63,7,42.0,71.59,63.24,72,63,7,66,69.0,66
GMC0000036,2020-06-24,Dabo Anta,Sénégal,46.95,,47,61,48,45.0,46.95,60.72,47,61,48,76,69.0,76
GMC0000037,2020-06-23,Ouertani Mohamed,Tunisie,53.12,,53,37,59,65.0,53.12,37.31,53,37,59,82,29.0,82
GMC0000038,2020-06-23,Soltani Abderrahmane,Tunisie,41.93,,42,63,75,1.0,41.93,63.26,42,63,75,15,75.0,15
GMC0000039,2020-06-22,Camara Fodé,Côte d'ivoire,71.04,,71,58,72,67.0,71.04,58.15,71,58,72,72,33.0,72
GMC0000040,2020-06-23,Kone Lamine,Côte d'ivoire,100.0,,100,35,69,3.0,100.0,35.13,100,35,69,61,,61
GMC0000041,2020-06-23,Gahou Koffi,Bénin,51.9,,52,61,43,,51.9,60.67,52,61,43,47,96.0,47
GMC0000042,2020-06-23,Gbessi Afi,Bénin,35.84,,36,48,18,33.0,35.84,48.38,36,48,18,29,52.0,29
GMC0000043,2020-06-25,Seck Ndongo,Sénégal,50.9,,51,42,7,90.0,50.9,42.32,51,42,7,82,66.0,82
GMC0000044,2020-06-25,Kante Abdoulaye,Côte d'ivoire,1.0,,1,75,30,55.0,1.0,75.31,1,75,30,88,97.0,88
GMC0000045,2020-06-25,Diarra Cheick,Côte d'ivoire,56.19,,56,58,55,19.0,56.19,58.46,56,58,55,14,64.0,14
GMC0000046,2020-06-22,Keita Cheick,Côte d'ivoire,27.57,,28,69,72,66.0,27.57,68.65,28,69,72,97,62.0,97
GMC0000047,2020-06-22,Kouassi Konan,Côte d'ivoire,46.58,,47,54,41,61.0,46.58,54.49,47,54,41,13,52.0,13
GMC0000048,2020-06-24,Khedher Houcine,Tunisie,50.46,,50,27,17,59.0,50.46,27.07,50,27,17,70,63.0,70
GMC0000049,2020-06-26,Goudiaby Aminata,Sénégal,68.89,,69,56,79,47.0,68.89,56.4,69,56,79,96,85.0,96
GMC0000050,2020-06-24,Samba Fatoumata,Sénégal,55.38,,55,52,87,100.0,55.38,52.12,55,52,87,32,19.0,32
GMC0000051,2020-06-23,Kouki Chokri,Tunisie,71.03,,71,40,50,1.0,71.03,40.39,71,40,50,90,,90
GMC0000052,2020-06-25,Owona Chedjou,Cameroun,13.85,,14,18,56,37.0,13.85,17.57,14,18,56,85,20.0,85
